pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_teff,st_mass,st_rad,sy_dist,sy_gaiamag,ra,dec
Kepler-943 b,Kepler-943,1,Transit,2016.0,Space,Kepler,49.7701438,0.2559,5.93,0.52903916,29.5,0.0928,0.0,5612.0,0.93,0.91,2300.53,15.6387,284.2739322,41.5349809
Kepler-944 b,Kepler-944,1,Transit,2016.0,Space,Kepler,43.3167737,0.2288,2.63,0.23463288,7.41,0.0233,0.0,5409.0,0.86,0.83,1349.43,15.7109,293.6012911,42.379791
Kepler-945 b,Kepler-945,1,Transit,2016.0,Space,Kepler,31.0033814,0.2037,2.63,0.23463288,7.41,0.0233,0.0,5718.0,0.97,0.97,1651.25,15.8596,291.2697354,42.0960305
Kepler-946 b,Kepler-946,1,Transit,2016.0,Space,Kepler,11.79162572,0.1002,1.93,0.17218307,4.38,0.0138,0.0,5665.0,0.94,0.93,1137.29,14.9234,300.9295551,44.028671
Kepler-947 b,Kepler-947,1,Transit,2016.0,Space,Kepler,26.9644317,0.1773,2.28,0.20340798,5.82,0.0183,0.0,5508.0,0.9,0.87,1730.78,15.7517,294.3667312,42.2526408
Kepler-948 b,Kepler-948,1,Transit,2016.0,Space,Kepler,7.76846622,0.0749,1.85,0.16504595,4.08,0.0128,0.0,5679.0,0.96,0.94,868.017,14.7858,293.3002774,41.5233244
Kepler-949 b,Kepler-949,2,Transit,2016.0,Space,Kepler,8.689307296,0.07739,2.91,0.25961281,8.8,0.0277,0.0,5403.0,0.89,0.86,486.105,14.5084,298.6079128,46.45366
Kepler-949 c,Kepler-949,2,Transit,2023.0,Space,Kepler,20.99757968,0.1394,2.97,0.26496611,9.11,0.0287,0.0,5211.0,0.817,0.895,486.105,14.5084,298.6079128,46.45366
Kepler-95 b,Kepler-95,1,Transit,2014.0,Space,Kepler,11.5231,0.10232,3.42,0.305,13.0,0.041,0.0,5699.0,1.08,1.41,445.656,12.3044,284.4824281,44.397891
Kepler-950 b,Kepler-950,1,Transit,2016.0,Space,Kepler,98.7180406,0.3982,8.98,0.80114194,59.6,0.188,0.0,5857.0,1.02,1.02,2161.6,15.6813,287.9565768,41.1302834
Kepler-951 b,Kepler-951,1,Transit,2016.0,Space,Kepler,71.52530845,0.3091,5.59,0.4987064,26.7,0.0839,0.0,4834.0,0.77,0.73,382.509,14.4908,287.7375794,38.1146488
Kepler-952 b,Kepler-952,1,Transit,2016.0,Space,Kepler,130.3546919,0.5183,7.65,0.68248729,45.4,0.143,0.0,5730.0,1.0,0.99,1304.25,15.1882,285.3718781,41.9938697
Kepler-953 b,Kepler-953,2,Transit,2016.0,Space,Kepler,88.40655258,0.392,4.21,0.37559104,16.5,0.0519,0.0,5416.0,0.95,0.99,258.893,12.1425,288.9716297,44.6246451
Kepler-953 c,Kepler-953,2,Transit,2016.0,Space,Kepler,9.10967112,0.0862,1.19,0.10616469,1.81,0.0057,0.0,5416.0,0.95,0.99,258.893,12.1425,288.9716297,44.6246451
Kepler-954 b,Kepler-954,1,Transit,2016.0,Space,Kepler,16.78176602,0.1202,2.32,0.20697654,5.99,0.0189,0.0,4990.0,0.82,0.76,215.814,12.9432,295.8594318,47.9396001
Kepler-955 b,Kepler-955,1,Transit,2016.0,Space,Kepler,14.53244172,0.1083,3.13,0.2792399,9.96,0.0313,0.0,5350.0,0.89,0.84,550.383,14.6273,288.4714969,40.2698157
Kepler-956 b,Kepler-956,1,Transit,2016.0,Space,Kepler,5.248672631,0.06017,3.0,0.26764207,9.27,0.0292,0.0,6040.0,1.1,1.15,544.939,13.2889,292.5308289,49.0616555
Kepler-957 b,Kepler-957,1,Transit,2016.0,Space,Kepler,5.907413537,0.0559,5.5,0.49067713,25.9,0.0816,0.0,4963.0,0.81,0.75,824.688,15.6906,290.1563633,48.818971
Kepler-958 b,Kepler-958,1,Transit,2016.0,Space,Kepler,9.7678805,0.08631,2.06,0.18378089,4.9,0.0154,0.0,5421.0,0.91,0.86,449.773,13.7299,287.2566578,46.0667247
Kepler-959 b,Kepler-959,1,Transit,2016.0,Space,Kepler,14.80074836,0.1633,4.38,0.39075743,17.6,0.0555,0.0,7005.0,1.6,2.01,807.729,12.466,292.171185,40.8113849
Kepler-96 b,Kepler-96,1,Transit,2014.0,Space,Kepler,16.2385,0.1261,2.67,0.238,8.46,0.027,0.0,5690.0,1.0,1.02,122.881,10.2971,297.0698263,40.5252039
Kepler-960 b,Kepler-960,1,Transit,2016.0,Space,Kepler,3.12686223,0.03807,2.29,0.20430012,5.86,0.0184,0.0,4755.0,0.77,0.72,284.916,13.8413,281.4572217,46.7465538
Kepler-961 b,Kepler-961,1,Transit,2016.0,Space,Kepler,16.87727414,0.12585,2.55,0.22749576,7.04,0.0221,0.0,5582.0,0.96,0.9,574.314,14.043,282.0354942,43.6312491
Kepler-962 b,Kepler-962,1,Transit,2016.0,Space,Kepler,12.05707239,0.09874,1.97,0.17575163,4.54,0.0143,0.0,5478.0,0.93,0.86,411.486,13.558,295.3131906,46.2375024
Kepler-963 b,Kepler-963,2,Transit,2016.0,Space,Kepler,9.97683705,0.0849,2.66,0.23730931,7.56,0.0238,0.0,5461.0,0.91,0.87,771.494,14.9116,296.7529742,45.0411049
Kepler-963 c,Kepler-963,2,Transit,2024.0,Space,Kepler,0.919783,,0.6,0.05352851,0.156,0.00049,,5169.47,0.821,0.928,771.494,14.9116,296.7529742,45.0411049
Kepler-964 b,Kepler-964,1,Transit,2016.0,Space,Kepler,13.5225106,0.1073,2.12,0.18913373,5.14,0.0162,0.0,5427.0,0.93,0.84,454.626,13.9025,295.300065,40.5565792
Kepler-965 b,Kepler-965,1,Transit,2016.0,Space,Kepler,134.2527298,0.50998,3.38,0.3015434,11.4,0.0357,0.0,5886.0,1.05,1.15,582.828,13.3334,298.5153169,41.8912305
Kepler-966 b,Kepler-966,1,Transit,2016.0,Space,Kepler,99.747622,0.3907,4.13,0.36845392,16.0,0.0502,0.0,5840.0,1.02,1.02,1027.8,14.4435,297.270576,50.1218365
Kepler-967 b,Kepler-967,2,Transit,2016.0,Space,Kepler,13.22713379,0.1027,2.35,0.20965296,6.12,0.0193,0.0,5178.0,0.84,0.8,568.546,14.4513,286.5580128,38.4052418
Kepler-967 c,Kepler-967,2,Transit,2016.0,Space,Kepler,198.7112502,0.6253,3.65,0.32563119,12.9,0.0407,0.0,5178.0,0.84,0.8,568.546,14.4513,286.5580128,38.4052418
Kepler-968 b,Kepler-968,3,Transit,2016.0,Space,Kepler,3.692983728,0.0389,2.0,0.17842805,4.66,0.0147,0.0,4598.0,0.76,0.7,290.324,14.2499,285.6025889,50.1120401
Kepler-968 c,Kepler-968,3,Transit,2016.0,Space,Kepler,5.709404918,0.052,1.69,0.1507717,3.5,0.011,0.0,4598.0,0.76,0.7,290.324,14.2499,285.6025889,50.1120401
Kepler-969 b,Kepler-969,2,Transit,2016.0,Space,Kepler,34.1731714,0.19726,2.07,0.18467303,4.94,0.0155,0.0,5214.0,0.92,0.82,390.354,13.7221,288.3724989,47.9335642
Kepler-969 c,Kepler-969,2,Transit,2016.0,Space,Kepler,1.682934604,0.0265,0.99,0.08832188,0.937,0.00295,0.0,5214.0,0.92,0.82,390.354,13.7221,288.3724989,47.9335642
Kepler-97 b,Kepler-97,2,Transit,2014.0,Space,Kepler,2.58664,0.03563,1.48,0.132,3.51,0.011,0.0,5779.0,0.94,0.98,400.907,12.813,287.3265292,48.6733443
Kepler-97 c,Kepler-97,2,Radial velocity,2014.0,Ground,W. M. Keck Observatory,789.0,,,,344.0,1.08,,5779.0,0.94,0.98,400.907,12.813,287.3265292,48.6733443
Kepler-970 b,Kepler-970,1,Transit,2016.0,Space,Kepler,16.736525,0.139,2.609,0.23275979,7.31,0.023,0.34,4290.0,0.67,0.71,331.545,14.8058,289.6252192,40.7087351
Kepler-971 b,Kepler-971,1,Transit,2016.0,Space,Kepler,9.59070716,0.08679,2.13,0.19002587,5.18,0.0163,0.0,5431.0,0.88,0.85,338.522,13.2181,284.0945699,41.1828131
Kepler-972 b,Kepler-972,1,Transit,2016.0,Space,Kepler,7.03932553,0.0734,4.65,0.41484521,19.5,0.0614,0.0,6146.0,1.15,1.22,1198.03,14.8925,295.828679,43.4254371
Kepler-973 b,Kepler-973,1,Transit,2016.0,Space,Kepler,49.6077331,0.2489,1.96,0.17485949,4.5,0.0142,0.0,5213.0,0.86,0.78,328.52,13.234,290.1653203,49.9238126
Kepler-974 b,Kepler-974,2,Transit,2016.0,Space,Kepler,4.194496514,0.0419,1.57,0.14006602,3.09,0.00972,0.0,3687.0,0.52,0.5,134.311,14.4126,285.0131082,40.2209547
Kepler-975 b,Kepler-975,2,Transit,2016.0,Space,Kepler,1.970342457,0.02898,1.48,0.13203676,2.79,0.00879,0.0,4897.0,0.8,0.75,426.088,14.4518,290.54851,38.4952415
Kepler-975 c,Kepler-975,2,Transit,2023.0,Space,Kepler,5.05821338,0.0567,10.69,0.95369956,80.2,0.252,0.0,4883.0,0.951,1.667,426.088,14.4518,290.54851,38.4952415
Kepler-976 b,Kepler-976,1,Transit,2016.0,Space,Kepler,105.9564148,0.4217,3.96,0.35328754,14.9,0.0467,0.0,5232.0,0.87,0.83,1012.41,15.8033,289.8696232,46.7296855
Kepler-977 b,Kepler-977,1,Transit,2016.0,Space,Kepler,26.85328322,0.162,2.62,0.23374074,7.37,0.0232,0.0,5315.0,0.87,0.83,568.751,14.8235,291.5161959,42.2480736
Kepler-978 b,Kepler-978,1,Transit,2016.0,Space,Kepler,49.6221509,0.2726,2.99,0.26674993,9.22,0.029,0.0,6002.0,1.07,1.09,682.522,13.3744,286.7107166,43.0433585
