pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_teff,st_mass,st_rad,sy_dist,sy_gaiamag,ra,dec
11 Com b,11 Com,1,Radial velocity,2007.0,Ground,Xinglong Station,323.21,1.178,12.2,1.09,4914.89848585,15.464,0.238,4874.0,2.09,13.76,93.1846,4.44038,185.1787793,17.7932516
11 UMi b,11 UMi,1,Radial velocity,2009.0,Ground,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,1.09,4684.8142,14.74,0.08,4213.0,2.78,29.79,125.321,4.56216,229.2745954,71.8239428
14 And b,14 And,1,Radial velocity,2008.0,Ground,Okayama Astrophysical Observatory,186.76,0.775,13.1,1.16,1131.15130051,3.559,0.0,4888.0,1.78,11.55,75.4392,4.91781,352.82415,39.2358367
14 Her b,14 Her,2,Radial velocity,2002.0,Ground,W. M. Keck Observatory,1766.41,2.839,12.5,1.12,2828.6728223,8.9,0.3683,5338.0,0.97,0.93,17.9323,6.383,242.6021014,43.8163621
16 Cyg B b,16 Cyg B,1,Radial velocity,1996.0,Ground,Multiple Observatories,798.5,1.66,13.5,1.2,565.7374,1.78,0.68,5750.0,1.08,1.13,21.1397,6.06428,295.4656422,50.5168243
17 Sco b,17 Sco,1,Radial velocity,2020.0,Ground,Lick Observatory,578.38,1.45,12.9,1.15,1373.01871824,4.32,0.06,4157.0,1.22,25.92,124.953,4.75429,243.4620874,-11.8377905
18 Del b,18 Del,1,Radial velocity,2008.0,Ground,Okayama Astrophysical Observatory,982.85,2.476,12.5,1.12,2926.24614325,9.207,0.024,4980.0,2.1,8.8,76.222,5.27476,314.6078375,10.8391378
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008.0,Ground,Gemini Observatory,,330.0,18.647,1.664,3000.0,8.0,,4060.0,0.85,1.31316,139.135,12.0572,242.3762343,-21.0831403
24 Boo b,24 Boo,1,Radial velocity,2018.0,Ground,Okayama Astrophysical Observatory,30.33,0.194,13.9,1.24,280.64248338,0.883,0.032,4816.0,1.05,12.19,95.9863,5.3339,217.1555242,49.8446488
24 Sex b,24 Sex,2,Radial velocity,2010.0,Ground,Lick Observatory,452.8,1.333,13.4,1.19,632.46,1.99,0.09,5098.0,1.54,4.9,72.0691,6.20374,155.8684866,-0.9023998
24 Sex c,24 Sex,2,Radial velocity,2010.0,Ground,Lick Observatory,883.0,2.08,13.9,1.24,273.32,0.86,0.29,5098.0,1.54,4.9,72.0691,6.20374,155.8684866,-0.9023998
2M0437 b,2MASS J04372171+2651014,1,Imaging,2021.0,Ground,Subaru Telescope,,118.0,13.0,1.16,1271.313628,4.0,,3100.0,0.17,0.84,128.484,14.3374,69.3405531,26.8502997
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013.0,Ground,Paranal Observatory,,84.0,12.3,1.1,4131.79,13.0,,,0.19,,47.2,,15.8992489,-55.2658291
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013.0,Ground,W. M. Keck Observatory,,52.0,11.209,1.0,7786.5,24.5,,3530.0,0.4,0.36645,33.8281,12.9025,20.7128012,-24.6646128
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015.0,Ground,Cerro Tololo Inter-American Observatory,,156.0,16.14096,1.44,4417.837,13.9,,3064.0,0.108,0.281,40.08964117,15.0123,34.8427046,-39.4230767
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Imaging,2018.0,Ground,Mauna Kea Observatory,,1950.0,12.4,1.11,3686.8095212,11.6,,2859.0,0.046,0.315959,66.0613,15.6894,42.4851627,-5.9599921
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,Imaging,2024.0,Space,European Space Agency (ESA) Gaia Satellite,,572.0,12.2,1.08,5720.911326,18.0,,2943.0,0.264996,0.289776,117.435,16.9967,59.7911026,20.1599759
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010.0,Space,Hubble Space Telescope,,15.0,12.6,1.13,2383.6,7.5,,2936.0,0.019,0.231916,120.42398696,18.9668,70.4371079,23.0308544
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,Imaging,2024.0,Space,European Space Agency (ESA) Gaia Satellite,,266.0,11.9,1.06,8899.195396,28.0,,,,,,18.3299,165.3295388,-77.5440912
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,Imaging,2024.0,Space,European Space Agency (ESA) Gaia Satellite,,587.0,12.1,1.08,6356.56814,20.0,,3021.0,0.58846,0.600455,100.862,14.818,178.7691634,-79.3197558
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004.0,Ground,Paranal Observatory,,46.0,15.69257298,1.4,1652.7077164,5.2,,2825.0,0.188001,0.21887,64.308,17.4076,181.8890906,-39.5484399
2MASS J19383260+4603591 b,2MASS J19383260+4603591,3,Eclipse Timing Variations,2015.0,Space,Kepler,406.0,0.92,13.4,1.2,603.877,1.9,0.33,29564.0,0.48,0.203,396.332,12.1376,294.6359173,46.0664076
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,Imaging,2024.0,Space,European Space Agency (ESA) Gaia Satellite,,7493.0,12.4,1.1,3813.940884,12.0,,3592.0,0.643977,0.672832,34.1154,10.8133,321.3662989,-81.6414894
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,2016.0,Ground,W. M. Keck Observatory,,230.0,12.3,1.1,3972.875,12.5,,4045.0,0.6,0.641152,69.5737,11.9484,339.1025931,47.861683
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,Imaging,2018.0,Ground,The 2 (Two) Micron All Sky Survey (2MASS),,518.0,11.9,1.06,9534.85221,30.0,,3352.0,0.433173,0.437589,57.2309,13.5759,342.5634097,23.4259058
4 UMa b,4 UMa,1,Radial velocity,2006.0,Ground,Thueringer Landessternwarte Tautenburg,270.27,0.877,12.6,1.12,2511.48007211,7.902,0.453,4415.0,1.234,18.11,73.4603,4.23773,130.0528099,64.3280504
47 UMa b,47 UMa,3,Radial velocity,1996.0,Ground,Lick Observatory,1078.0,2.1,13.2,1.18,804.08,2.53,0.032,5872.0,1.06,1.21334,13.7967,4.87837,164.8647611,40.4304931
47 UMa c,47 UMa,3,Radial velocity,2001.0,Ground,Lick Observatory,2391.0,3.6,14.2,1.27,171.621,0.54,0.098,5872.0,1.06,1.21334,13.7967,4.87837,164.8647611,40.4304931
47 UMa d,47 UMa,3,Radial velocity,2009.0,Ground,Lick Observatory,14002.0,11.6,13.5,1.2,521.22,1.64,0.16,5872.0,1.06,1.21334,13.7967,4.87837,164.8647611,40.4304931
51 Eri b,51 Eri,1,Imaging,2015.0,Ground,Gemini Observatory,9100.0,10.4,,,3464.3296363,10.9,0.57,7422.0,1.75,1.45,29.7575,5.15806,69.4007424,-2.4738245
51 Peg b,51 Peg,1,Radial velocity,1995.0,Ground,Haute-Provence Observatory,4.230785,0.0527,14.3,1.27,146.2018,0.46,0.013,5758.0,1.03,1.17561,15.4614,5.28647,344.3675399,20.7690958
55 Cnc B b,55 Cnc B,7,Radial velocity,2025.0,Ground,Mauna Kea Observatory,6.7994,0.044,1.69,0.151,3.5,0.01101223,0.0,3286.0,0.26,0.274,12.4773,11.6798,133.167908,28.3152863
55 Cnc B c,55 Cnc B,7,Radial velocity,2025.0,Ground,Mauna Kea Observatory,33.747,0.13,2.16,0.193,5.3,0.01667566,0.0,3286.0,0.26,0.274,12.4773,11.6798,133.167908,28.3152863
55 Cnc b,55 Cnc,7,Radial velocity,1996.0,Ground,Lick Observatory,14.651552,0.118,13.9,1.24,263.9785,0.8306,0.0029,5198.0,1.015,0.98,12.5855,5.72973,133.1468373,28.3298154
55 Cnc c,55 Cnc,7,Radial velocity,2004.0,Ground,McDonald Observatory,44.3936,0.247,8.51,0.76,54.4738,0.1714,0.088,5198.0,1.015,0.98,12.5855,5.72973,133.1468373,28.3298154
55 Cnc d,55 Cnc,7,Radial velocity,2002.0,Ground,Lick Observatory,4799.0,5.6,13.0,1.16,1232.493,3.878,0.0913,5198.0,1.015,0.98,12.5855,5.72973,133.1468373,28.3298154
55 Cnc e,55 Cnc,7,Radial velocity,2004.0,Ground,McDonald Observatory,0.7365474,0.01544,1.875,0.1672763,7.99,0.02513923,0.05,5172.0,0.905,0.943,12.5855,5.72973,133.1468373,28.3298154
55 Cnc f,55 Cnc,7,Radial velocity,2007.0,Ground,Multiple Observatories,260.58,0.802,7.59,0.677,44.812,0.141,0.063,5198.0,1.015,0.98,12.5855,5.72973,133.1468373,28.3298154
6 Lyn b,6 Lyn,1,Radial velocity,2008.0,Ground,Okayama Astrophysical Observatory,919.86,2.028,13.4,1.2,597.83523357,1.881,0.042,4941.0,1.32,4.94,54.6599,5.60686,97.6960311,58.1611753
61 Vir b,61 Vir,3,Radial velocity,2009.0,Ground,Multiple Observatories,4.215,0.050201,2.11,0.188,5.1,0.016,0.12,5577.0,0.942,0.963,8.50332,4.54052,199.596455,-18.3157745
61 Vir c,61 Vir,3,Radial velocity,2009.0,Ground,Multiple Observatories,38.021,0.2175,4.46,0.398,18.2,0.057,0.14,5577.0,0.942,0.963,8.50332,4.54052,199.596455,-18.3157745
61 Vir d,61 Vir,3,Radial velocity,2009.0,Ground,Multiple Observatories,123.01,0.476,5.11,0.456,22.9,0.072,0.35,5577.0,0.942,0.963,8.50332,4.54052,199.596455,-18.3157745
7 CMa b,7 CMa,2,Radial velocity,2011.0,Ground,Anglo-Australian Telescope,735.1,1.758,13.4,1.2,587.9855,1.85,0.06,4826.0,1.34,4.87,19.8101,3.67853,99.171276,-19.2561808
7 CMa c,7 CMa,2,Radial velocity,2019.0,Ground,Multiple Observatories,996.0,2.153,13.9,1.24,276.5121,0.87,0.08,4826.0,1.34,4.87,19.8101,3.67853,99.171276,-19.2561808
70 Vir b,70 Vir,1,Radial velocity,1996.0,Ground,Lick Observatory,116.688,0.481,12.6,1.13,2380.45,7.49,0.3988,5495.0,1.09,1.89,17.9011,4.76178,202.1064898,13.7763085
75 Cet b,75 Cet,2,Radial velocity,2012.0,Ground,Okayama Astrophysical Observatory,696.62,1.912,13.3,1.18,787.89662095,2.479,0.093,4809.0,1.92,10.38,82.9613,5.09343,38.0391598,-1.0350269
75 Cet c,75 Cet,2,Radial velocity,2023.0,Ground,Okayama Astrophysical Observatory,2051.62,3.929,13.9,1.24,289.85950718,0.912,0.023,4809.0,1.92,10.38,82.9613,5.09343,38.0391598,-1.0350269
8 UMi b,8 UMi,1,Radial velocity,2015.0,Ground,Bohyunsan Optical Astronomical Observatory,93.31,0.462,13.5,1.2,524.41687155,1.65,0.062,4847.0,1.51,10.73,162.552,6.55896,224.201685,74.9009379
81 Cet b,81 Cet,1,Radial velocity,2008.0,Ground,Okayama Astrophysical Observatory,1005.57,2.104,13.1,1.17,1051.05854195,3.307,0.037,4734.0,1.23,11.21,101.26,5.37588,39.4243555,-3.3963607
91 Aqr b,91 Aqr,1,Radial velocity,2013.0,Ground,Lick Observatory,181.4,0.7,13.1,1.17,1017.0,3.2,0.027,4665.0,1.4,11.0,44.0304,3.95311,348.9745031,-9.0878076
AB Aur b,AB Aur,1,Imaging,2022.0,Ground,Subaru Telescope,,93.9,12.5,1.12,2860.455663,9.0,0.4,9770.0,2.4,2.95887,162.127,7.07854,73.9410446,30.5510888
AB Pic b,AB Pic,1,Imaging,2005.0,Ground,Paranal Observatory,,260.0,12.3,1.1,4290.5,13.5,,5285.0,0.9,0.999394,50.0475,8.8378,94.8039208,-58.0541184
AF Lep b,AF Lep,1,Imaging,2023.0,Ground,Paranal Observatory,8905.0,8.996,13.0,1.16,1147.36054927,3.61,0.015,6140.0,1.218,1.25,26.8564,6.18644,81.7699216,-11.9011752
AT2021ueyL b,AT2021ueyL,1,Microlensing,2025.0,Multiple Locales,Multiple Observatories,4168.69,4.01,13.6,1.22,425.89006538,1.34,,3680.0,0.49,,1040.0,,324.5450417,26.4665694
AU Mic b,AU Mic,4,Transit,2020.0,Space,Transiting Exoplanet Survey Satellite (TESS),8.463446,0.07,4.79,0.42733591,8.99,0.0282857,0.07,3540.0,0.635,0.862,9.7221,7.84038,311.2911369,-31.34245
AU Mic c,AU Mic,4,Transit,2021.0,Space,Transiting Exoplanet Survey Satellite (TESS),18.859023,0.119,2.79,0.24890756,14.46,0.04549625,0.18,3540.0,0.635,0.862,9.7221,7.84038,311.2911369,-31.34245
AU Mic d,AU Mic,4,Transit Timing Variations,2023.0,Ground,Multiple Observatories,12.73596,,1.02,0.0912,1.053,0.00331,0.00305,3678.0,0.51,0.744,9.7221,7.84038,311.2911369,-31.34245
AU Mic e,AU Mic,4,Radial velocity,2025.0,Ground,Mauna Kea Observatory,33.11,,4.87,0.434,21.1,0.06638802,,3665.0,0.6,0.82,9.7221,7.84038,311.2911369,-31.34245
BD+03 2562 b,BD+03 2562,1,Radial velocity,2017.0,Ground,Multiple Observatories,481.9,1.3,12.7,1.13,2034.112,6.4,0.2,4095.0,1.14,32.35,1070.63,8.9977,177.5647268,2.7601075
BD+05 4868 A b,BD+05 4868 A,1,Transit,2025.0,Space,Transiting Exoplanet Survey Satellite (TESS),1.271869,0.0208,,,6.2,0.01950738,,4596.0,0.7,0.69,43.5687,9.84152,326.8614036,6.6053185
BD+14 4559 b,BD+14 4559,1,Radial velocity,2009.0,Ground,McDonald Observatory,268.94,0.78,13.8,1.23,330.5432,1.04,0.29,4864.0,0.49,0.86,49.352,9.35108,318.4010002,14.6893834
BD+15 2375 b,BD+15 2375,1,Radial velocity,2016.0,Ground,Roque de los Muchachos Observatory,153.22,0.576,13.8,1.23,337.21763,1.061,0.001,4649.0,1.08,8.95,768.045,9.9918,176.4820239,14.6163182
BD+15 2940 b,BD+15 2940,1,Radial velocity,2013.0,Ground,McDonald Observatory,137.48,0.539,13.7,1.23,352.78,1.11,0.26,4796.0,1.1,14.7,426.42,8.7178,240.09564,15.5467507
BD+20 2457 b,BD+20 2457,2,Radial velocity,2009.0,Ground,McDonald Observatory,379.63,1.45,12.1,1.08,6807.63,21.42,0.15,4137.0,2.8,49.0,1539.71,9.22684,154.186782,19.8912626
BD+20 2457 c,BD+20 2457,2,Radial velocity,2009.0,Ground,McDonald Observatory,621.99,2.01,12.4,1.1,3963.17,12.47,0.18,4137.0,2.8,49.0,1539.71,9.22684,154.186782,19.8912626
BD+20 274 b,BD+20 274,1,Radial velocity,2012.0,Ground,McDonald Observatory,578.2,1.3,13.0,1.16,1334.886,4.2,0.21,4296.0,0.8,17.3,1322.51,8.91613,25.9203179,21.0052692
BD+20 594 b,BD+20 594,1,Transit,2016.0,Space,K2,41.6855,0.241,2.57807,0.23,22.2481,0.07,0.0,5766.0,1.67,1.08,179.461,10.8644,53.6511231,20.5990205
BD+37 3172 b,BD+37 3172,1,Radial velocity,2023.0,Ground,McDonald Observatory,1887.76,4.65,12.4,1.11,3368.9811142,10.6,0.59,4500.0,3.75,50.24,454.251,8.84772,278.8155071,38.1153886
BD+42 2315 b,BD+42 2315,1,Radial velocity,2023.0,Ground,McDonald Observatory,123.05,0.54,14.2,1.26,174.80562385,0.55,0.73,4500.0,1.38,17.85,610.715,9.43036,187.5887597,41.2695674
BD+45 564 b,BD+45 564,1,Radial velocity,2021.0,Ground,Haute-Provence Observatory,307.88,0.83,13.6,1.21,432.24663352,1.36,0.12,5004.0,0.81,0.813064,53.622,9.41266,32.9470485,45.9242187
BD+48 738 b,BD+48 738,1,Radial velocity,2011.0,Ground,McDonald Observatory,392.6,1.0,13.9,1.24,289.2253,0.91,0.2,4414.0,0.74,11.0,871.493,8.65569,40.7102869,49.5869395
BD+48 740 b,BD+48 740,1,Radial velocity,2018.0,Ground,Multiple Observatories,733.0,1.7,13.5,1.2,540.311,1.7,0.76,4534.0,1.09,10.33,666.589,8.26449,40.7425426,48.9300579
BD+49 828 b,BD+49 828,1,Radial velocity,2015.0,Ground,McDonald Observatory,2590.0,4.2,13.5,1.21,508.5,1.6,0.35,4943.0,1.52,7.6,442.042,9.02851,45.6406187,49.7299481
BD+55 362 b,BD+55 362,1,Radial velocity,2021.0,Ground,Haute-Provence Observatory,265.59,0.78,14.0,1.25,228.83645304,0.72,0.27,5012.0,0.909,0.896193,52.5697,9.15305,23.9636676,56.6982282
BD+60 1417 b,BD+60 1417,1,Imaging,2021.0,Space,Wide-field Infrared Survey Explorer (WISE) Sat,,1662.0,14.68376472,1.31,4767.426105,15.0,,4993.0,1.0,0.797,44.9543,9.17439,190.8875453,60.0143636
BD+63 1405 b,BD+63 1405,1,Radial velocity,2021.0,Ground,Haute-Provence Observatory,1198.48,2.06,12.4,1.11,3305.4154328,10.4,0.88,5000.0,0.816,0.804724,38.0473,8.705,271.3979337,63.6700064
BD-06 1339 b,BD-06 1339,2,Radial velocity,2013.0,Ground,La Silla Observatory,3.8728,0.0428,,,1523.03372634,4.792,0.0,4324.0,0.7,0.686355,20.2695,9.10677,88.2511811,-5.9963378
BD-06 1339 c,BD-06 1339,2,Radial velocity,2013.0,Ground,La Silla Observatory,125.94,0.435,8.38,0.747,53.0,0.17,0.31,4324.0,0.7,0.686355,20.2695,9.10677,88.2511811,-5.9963378
BD-08 2823 b,BD-08 2823,2,Radial velocity,2009.0,Ground,La Silla Observatory,5.6,0.06,,,2948.49413174,9.277,0.15,4816.0,0.5,0.71,41.3342,9.50331,150.1971964,-9.5165689
BD-08 2823 c,BD-08 2823,2,Radial velocity,2009.0,Ground,La Silla Observatory,237.6,0.68,12.5,1.11,104.0,0.33,0.19,4746.0,0.74,0.71,41.3342,9.50331,150.1971964,-9.5165689
BD-10 3166 b,BD-10 3166,1,Radial velocity,2000.0,Ground,W. M. Keck Observatory,3.48777,0.04,14.1,1.26,187.5197,0.59,0.02,5393.0,1.47,0.91,84.4069,9.83981,164.6191243,-10.7704227
BD-11 4672 b,BD-11 4672,2,Radial velocity,2014.0,Ground,La Silla Observatory,1634.0,2.36,14.1,1.25,206.5895,0.65,0.05,4550.0,0.651,0.639,27.1665,9.48511,278.3688659,-11.6370481
BD-11 4672 c,BD-11 4672,2,Radial velocity,2020.0,Ground,Roque de los Muchachos Observatory,74.2,0.3,4.04,0.36,15.37,0.04835919,0.4,4550.0,0.651,0.639,27.1665,9.48511,278.3688659,-11.6370481
BD-13 2130 b,BD-13 2130,1,Radial velocity,2007.0,Ground,La Silla Observatory,714.29999,1.66,12.5,1.11,3108.3774,9.78,0.21,4545.0,2.12,19.17,925.214,9.69971,114.2884692,-13.9066703
BD-14 3065 b,BD-14 3065 A,1,Transit,2024.0,Space,Transiting Exoplanet Survey Satellite (TESS),4.2889731,0.0656,21.59,1.926,3932.0,12.37,0.066,6935.0,1.41,2.35,589.423,10.91,153.6696689,-15.6428372
BD-17 63 b,BD-17 63,1,Radial velocity,2008.0,Ground,La Silla Observatory,655.57,1.34,12.8,1.15,1639.99458012,5.16,0.5439,4714.0,0.741,0.74,34.4603,9.20112,7.1413494,-16.2273254
BD-210397 b,BD-210397,2,Radial velocity,2023.0,Ground,La Silla Observatory,1891.0,2.63,14.0,1.25,214.0,0.7,0.1,4051.0,0.679,0.747,23.7324,9.25962,33.3024198,-21.1962147
BD-210397 c,BD-210397,2,Radial velocity,2023.0,Ground,La Silla Observatory,6240.0,5.9,12.9,1.15,1525.5763536,4.8,0.43,4051.0,0.69,0.747,23.7324,9.25962,33.3024198,-21.1962147
BEBOP-3 b,BEBOP-3,1,Radial velocity,2025.0,Ground,Haute-Provence Observatory,547.0,1.444,14.2,1.26,177.34825111,0.558,0.247,6033.0,1.083,1.414,119.052,9.1008,110.902655,79.1323952
BEBOP-4 AB b,BEBOP-4 A,1,Radial velocity,2025.0,Ground,Haute-Provence Observatory,1823.5,3.634,,,8358.8871041,26.3,0.428,5701.43,1.507,2.75645,234.294,9.43326,192.5772651,26.1595358
Barnard b,Barnard's star,4,Radial velocity,2024.0,Ground,Paranal Observatory,3.1542,0.0229,0.72,0.0642,0.299,0.00094076,0.03,3195.0,0.162,0.185,1.82655,8.19511,269.4486144,4.7379808
Barnard c,Barnard's star,4,Radial velocity,2025.0,Ground,Gemini Observatory,4.1244,0.0274,0.743,0.0663,0.335,0.00105403,0.08,3195.0,0.162,0.185,1.82655,8.19511,269.4486144,4.7379808
Barnard d,Barnard's star,4,Radial velocity,2025.0,Ground,Gemini Observatory,2.3402,0.0188,0.694,0.062,0.263,0.00082749,0.04,3195.0,0.162,0.185,1.82655,8.19511,269.4486144,4.7379808
Barnard e,Barnard's star,4,Radial velocity,2025.0,Ground,Gemini Observatory,6.7392,0.0381,0.637,0.0568,0.193,0.00060725,0.04,3195.0,0.162,0.185,1.82655,8.19511,269.4486144,4.7379808
CD Cet b,CD Cet,1,Radial velocity,2020.0,Ground,Calar Alto Observatory,2.2907,0.0185,1.82,0.162,3.95,0.01242809,,3130.0,0.161,0.175,8.60715,12.1232,48.3530155,4.7751881
CD-35 2722 b,CD-35 2722,1,Imaging,2011.0,Ground,Gemini Observatory,,67.0,17.37392009,1.55,9375.9380065,29.5,,3689.0,0.4,0.558549,22.3896,10.2176,92.3300147,-35.8255375
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,Imaging,2011.0,Ground,W. M. Keck Observatory,10037.5,2.6,12.4,1.11,3337.1,10.5,,580.5,0.021,,23.1,,224.6208333,10.2286111
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Imaging,2021.0,Space,Hubble Space Telescope,8040000.0,200.0,20.8487041,1.86,2479.0615746,7.8,,2320.0,0.0147,0.245,,,246.934277,-23.98115
CHXR 73 b,CHXR 73,1,Imaging,2006.0,Space,Hubble Space Telescope,,210.0,12.3,1.1,3994.486,12.569,,3099.0,0.35,,190.374,17.2934,166.6193985,-77.6258725
CI Tau c,CI Tau,1,Radial velocity,2024.0,Multiple Locales,Multiple Observatories,25.2,0.17,13.0,1.16,1144.1822652,3.6,0.58,3807.0,0.9,1.880857,157.998,12.1454,68.4667685,22.8416192
COCONUTS-2 b,COCONUTS-2 A,1,Imaging,2021.0,Ground,NASA Infrared Telescope Facility (IRTF),402000000.0,7506.0,12.44196858,1.11,2542.627256,8.0,,3406.0,0.37,0.388,10.8864,10.146,117.300914,-76.702696
CT Cha b,CT Cha,1,Imaging,2007.0,Ground,Paranal Observatory,,440.0,24.66,2.2,5403.0,17.0,,4403.0,,1.679694,190.72,11.7733,166.0375038,-76.4553693
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3,1,Imaging,2025.0,Space,James Webb Space Telescope (JWST),,2.48,12.2,1.09,4926.3403085,15.5,,,0.024,,14.43,,293.8262172,-15.7725727
CoRoT-1 b,CoRoT-1,1,Transit,2008.0,Space,CoRoT,1.5089557,0.02752,16.7,1.49,327.35,1.03,0.0,5950.0,0.95,1.11,787.909,13.457,102.0798591,-3.1021394
CoRoT-10 b,CoRoT-10,1,Transit,2010.0,Space,CoRoT,13.2406,0.1055,10.87,0.97,874.0,2.75,0.53,5075.0,0.89,0.79,338.386,14.6645,291.0636813,0.7460143
CoRoT-11 b,CoRoT-11,1,Transit,2010.0,Space,CoRoT,2.99433,0.0436,16.03,1.43,740.51,2.33,0.0,6440.0,1.27,1.37,655.037,12.841,280.6872998,5.9376586
CoRoT-12 b,CoRoT-12,1,Transit,2010.0,Space,CoRoT,2.828042,0.04016,16.14,1.44,291.438,0.917,0.07,5675.0,1.078,1.116,1126.37,15.3453,100.7656871,-1.2964437
CoRoT-13 b,CoRoT-13,1,Transit,2010.0,Space,CoRoT,4.03519,0.051,9.92,0.885,415.704,1.308,0.0,5945.0,1.09,1.01,1148.93,14.9147,102.7211432,-5.0864557
CoRoT-14 b,CoRoT-14,1,Transit,2010.0,Space,CoRoT,1.51214,0.027,12.22,1.09,2415.4,7.6,0.0,6035.0,1.13,1.21,1744.6,15.8116,103.4242023,-5.5360385
CoRoT-16 b,CoRoT-16,1,Transit,2011.0,Space,CoRoT,5.35227,0.0618,13.11,1.17,170.032,0.535,0.33,5650.0,1.098,1.19,732.409,15.6507,278.5246658,-6.0026026
CoRoT-17 b,CoRoT-17,1,Transit,2011.0,Space,CoRoT,3.7681,0.0461,11.43,1.02,772.29,2.43,0.0,5740.0,1.04,1.59,1176.12,15.4368,278.699236,-6.612288
CoRoT-18 b,CoRoT-18,1,Transit,2011.0,Space,CoRoT,1.9000693,0.0295,14.68,1.31,1102.82,3.47,0.08,5440.0,0.95,1.0,764.889,14.8009,98.1724172,-0.0316045
CoRoT-19 b,CoRoT-19,1,Transit,2011.0,Space,CoRoT,3.89713,0.0518,14.46,1.29,352.78,1.11,0.047,6090.0,1.21,1.65,790.663,13.7831,97.0335983,-0.1707293
CoRoT-2 b,CoRoT-2,1,Transit,2008.0,Space,CoRoT,1.7429935,0.02798,16.432,1.466,1102.82,3.47,0.0143,5625.0,0.96,0.906,213.283,12.2489,291.7770457,1.3836634
CoRoT-20 b,CoRoT-20,2,Transit,2011.0,Space,CoRoT,9.24285,0.09,9.41556,0.84,1366.669,4.3,0.59,5880.0,1.14,1.02,844.061,14.4686,97.7204249,0.2268931
CoRoT-20 c,CoRoT-20,2,Radial velocity,2018.0,Ground,Multiple Observatories,1675.0,2.9,12.2,1.09,5403.11,17.0,0.6,5880.0,1.14,1.02,844.061,14.4686,97.7204249,0.2268931
CoRoT-21 b,CoRoT-21,1,Transit,2012.0,Space,CoRoT,2.72474,0.0417,14.5717,1.3,718.2958,2.26,0.0,6200.0,1.29,1.95,1398.83419686,15.8558,101.0526207,-0.2991544
CoRoT-22 b,CoRoT-22,1,Transit,2014.0,Space,CoRoT,9.75598,0.092,4.88,0.435,12.2,0.038,0.077,5939.0,1.099,1.136,627.158,13.7305,280.6671392,6.2191669
CoRoT-23 b,CoRoT-23,1,Transit,2011.0,Space,CoRoT,3.6313,0.048,11.77,1.05,889.9,2.8,0.16,5900.0,1.14,1.61,1060.97,15.0681,279.7826586,4.3577516
CoRoT-24 b,CoRoT-24,2,Transit,2014.0,Space,CoRoT,5.1134,0.056,3.7,0.33,5.7,0.018,0.0,4950.0,0.91,0.86,591.555,15.1801,101.922543,-3.7192892
CoRoT-24 c,CoRoT-24,2,Transit,2014.0,Space,CoRoT,11.759,0.098,5.0,0.44,28.0,0.088,0.0,4950.0,0.91,0.86,591.555,15.1801,101.922543,-3.7192892
CoRoT-25 b,CoRoT-25,1,Transit,2013.0,Space,CoRoT,4.86069,0.0578,12.11,1.08,85.81,0.27,0.0,6040.0,1.09,1.19,1103.48,14.711,280.6296561,6.5138223
CoRoT-26 b,CoRoT-26,1,Transit,2013.0,Space,CoRoT,4.20474,0.0526,14.12,1.26,165.26,0.52,0.0,5590.0,1.09,1.79,1045.18,15.4682,279.7504991,6.9697828
CoRoT-27 b,CoRoT-27,1,Transit,2014.0,Space,CoRoT,3.57532,0.0476,11.287,1.007,3302.11,10.39,0.065,5900.0,1.05,1.08,1010.28,15.3902,278.4958319,5.5383811
CoRoT-28 b,CoRoT-28,1,Transit,2015.0,Space,CoRoT,5.20851,0.0603,10.704595,0.955,153.82972,0.484,0.047,5150.0,1.01,1.78,766.183,13.4119,278.6883216,5.5736911
CoRoT-29 b,CoRoT-29,1,Transit,2015.0,Space,CoRoT,2.85057,0.0386,10.0881,0.9,270.1555,0.85,0.082,5260.0,0.97,0.9,806.507,15.2394,278.9020691,6.4795703
CoRoT-3 b,CoRoT-3,1,Transit,2008.0,Space,CoRoT,4.2568,0.05783,11.32,1.01,6883.91,21.66,0.0,6740.0,1.37,1.56,768.771,13.2188,292.0552827,0.1218359
